source_id,reservoir_id,reservoir_name,title,url,raw_host,official_owner,document_type,source_tier,selection_reason,access_date,acquisition_method,content_type,content_sha256,duplicate_of,status,raw_file_saved,raw_file_path,extracted_text_saved,extracted_text_path,extracted_text_length
LP-20260625-A-001,597,Lake Powell,Glen Canyon Dam Water Operations,https://www.usbr.gov/uc/water/crsp/cs/gcd.html,www.usbr.gov,Bureau of Reclamation,agency_webpage,TR-A,Official Reclamation water-operations page for Glen Canyon Dam and Lake Powell.,2026-06-25,stage1_agentic_workflow_20260625,text/html; charset=UTF-8,8ecc9cc7905c9460820f46e615790f3aece6640f96db17f7ecd024f07a756ef6,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-001_glen_canyon_dam_water_operations.html,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-001_glen_canyon_dam_water_operations.txt,11504
LP-20260625-A-002,597,Lake Powell,Glen Canyon Dam Upper Colorado Region overview,https://www.usbr.gov/uc/rm/crsp/gc/,www.usbr.gov,Bureau of Reclamation,agency_webpage,TR-A,"Official Reclamation overview of Glen Canyon Dam purposes, storage, and low-reservoir context.",2026-06-25,stage1_agentic_workflow_20260625,text/html; charset=UTF-8,2a444cf63f3000710400d84a090a6f5eb2b4c84a2e9a6024013f1429307e9e83,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-002_glen_canyon_dam_upper_colorado_region_overview.html,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-002_glen_canyon_dam_upper_colorado_region_overview.txt,34877
LP-20260625-A-003,597,Lake Powell,Colorado River Post-2026 Operations page,https://www.usbr.gov/ColoradoRiverBasin/post2026/index.html,www.usbr.gov,Bureau of Reclamation,agency_webpage,TR-A,Official Post-2026 operations landing page.,2026-06-25,stage1_agentic_workflow_20260625,text/html; charset=UTF-8,fd5b1002503f67bd74b67e08fc60d375ddacff2b4e07a015e1ebfceb46b9391c,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-003_colorado_river_post_2026_operations_page.html,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-003_colorado_river_post_2026_operations_page.txt,6996
LP-20260625-A-004,597,Lake Powell,Post-2026 Draft EIS landing page,https://www.usbr.gov/ColoradoRiverBasin/post2026/draft-eis/index.html,www.usbr.gov,Bureau of Reclamation,agency_webpage,TR-A,Official Draft EIS document index for Post-2026 operations.,2026-06-25,stage1_agentic_workflow_20260625,text/html; charset=UTF-8,e4ecea9eca10b52c862d271ec08dce19bdc410127002fdaf2d22a29593c66cf7,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-004_post_2026_draft_eis_landing_page.html,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-004_post_2026_draft_eis_landing_page.txt,4945
LP-20260625-A-005,597,Lake Powell,Post-2026 Draft EIS Executive Summary,https://www.usbr.gov/ColoradoRiverBasin/post2026/draft-eis/docs/executive-summary/P26-DEIS-Exec-Summary.pdf,www.usbr.gov,Bureau of Reclamation,environmental_report,TR-A,Official Draft EIS executive summary for Lake Powell and Lake Mead operational guidelines.,2026-06-25,stage1_agentic_workflow_20260625,application/pdf,94b0840e2cc5eeec3471b5b617eccb345a720d6f7f673afde1069ceb66503de7,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-005_post_2026_draft_eis_executive_summary.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-005_post_2026_draft_eis_executive_summary.txt,275949
LP-20260625-A-006,597,Lake Powell,Post-2026 Draft EIS Chapter 1 Purpose and Need,https://www.usbr.gov/ColoradoRiverBasin/post2026/draft-eis/docs/vol-1/P26-DEIS-1-Ch1.pdf,www.usbr.gov,Bureau of Reclamation,environmental_report,TR-A,Official Draft EIS purpose and need for post-2026 operations.,2026-06-25,stage1_agentic_workflow_20260625,application/pdf,3669e021c8fbced0582a9b01758335f67a37e6204ca19d4eaf715ed74bc71e74,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-006_post_2026_draft_eis_chapter_1_purpose_and_need.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-006_post_2026_draft_eis_chapter_1_purpose_and_need.txt,86937
LP-20260625-A-007,597,Lake Powell,Post-2026 Draft EIS Chapter 2 Alternatives,https://www.usbr.gov/ColoradoRiverBasin/post2026/draft-eis/docs/vol-1/P26-DEIS-2-Ch2.pdf,www.usbr.gov,Bureau of Reclamation,environmental_report,TR-A,"Official Draft EIS alternatives, including Lake Powell release and infrastructure protection assumptions.",2026-06-25,stage1_agentic_workflow_20260625,application/pdf,710b499d79f0465f346047925e83e6a1af9c4b38f053582d168698f53225d67e,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-007_post_2026_draft_eis_chapter_2_alternatives.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-007_post_2026_draft_eis_chapter_2_alternatives.txt,118144
LP-20260625-A-008,597,Lake Powell,Post-2026 Alternatives Report,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/Post-2026_Alternatives_Report_20250117_508.pdf,www.usbr.gov,Bureau of Reclamation,environmental_report,TR-A,Official alternatives report describing future Colorado River reservoir operations.,2026-06-25,stage1_agentic_workflow_20260625,application/pdf,c1451b6ef04d69177bcfe3c6b7788928ee677d96e162b1d3fea8fe67565e38a9,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-008_post_2026_alternatives_report.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-008_post_2026_alternatives_report.txt,113641
LP-20260625-A-009,597,Lake Powell,Post-2026 Narrative of Alternatives,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/Post-2026_Colorado_River_Operations_EISNarrative_of_Alternatives_20241120_508.pdf,www.usbr.gov,Bureau of Reclamation,environmental_report,TR-A,Official narrative of post-2026 operational alternatives.,2026-06-25,stage1_agentic_workflow_20260625,application/pdf,a665645a33cd4bf897c29536aa393a0b7398a5fd54a732f28f5d6c7f035984f1,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-009_post_2026_narrative_of_alternatives.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-009_post_2026_narrative_of_alternatives.txt,9327
LP-20260625-A-010,597,Lake Powell,Post-2026 Technical Appendix 15 Dams and Electrical Power Resources,https://www.usbr.gov/ColoradoRiverBasin/post2026/draft-eis/docs/vol-3/P26-DEIS-TA-15.pdf,www.usbr.gov,Bureau of Reclamation,technical_memo,TR-A,Official technical appendix on dam infrastructure and hydropower resources.,2026-06-25,stage1_agentic_workflow_20260625,application/pdf,ca6f873a892444d49f895a537eaa3461822aace54db768d4019404732f4ff673,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-010_post_2026_technical_appendix_15_dams_and_electrical_power_resources.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-010_post_2026_technical_appendix_15_dams_and_electrical_power_resources.txt,125002
LP-20260625-A-011,597,Lake Powell,Post-2026 Appendix A CRSS Model Documentation,https://www.usbr.gov/ColoradoRiverBasin/post2026/draft-eis/docs/vol-2/P26-DEIS-Appendix-A.pdf,www.usbr.gov,Bureau of Reclamation,technical_memo,TR-A,Official CRSS model documentation for post-2026 analysis.,2026-06-25,stage1_agentic_workflow_20260625,application/pdf,2ee0595636786b42b40a621bd61290024a4611afcc67b80a1a6ad6b2b44adca2,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-011_post_2026_appendix_a_crss_model_documentation.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-011_post_2026_appendix_a_crss_model_documentation.txt,170657
LP-20260625-A-012,597,Lake Powell,June 2026 Most Probable 24-Month Study,https://www.usbr.gov/lc/region/g4000/24mo.pdf,www.usbr.gov,Bureau of Reclamation,operating_plan,TR-A,Official 24-Month Study with current Lake Powell operations and projections.,2026-06-25,stage1_agentic_workflow_20260625,application/pdf,5a68dc21de15f5a7506df3ecb7dcee7a2dcfea6134d64f3c8bd1691114217e16,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-012_june_2026_most_probable_24_month_study.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-012_june_2026_most_probable_24_month_study.txt,47008
LP-20260625-A-013,597,Lake Powell,Upper Colorado Basin 24-Month Study Inflow Scenarios,https://www.usbr.gov/uc/water/crsp/studies/images/PowellElevations.pdf,www.usbr.gov,Bureau of Reclamation,data_system_documentation,TR-A,Official 24-Month Study inflow scenario PDF for Lake Powell elevations and releases.,2026-06-25,stage1_agentic_workflow_20260625,application/pdf,3eef008f40671bd452369319f600b898a33578316f06753be577071db6af3b6f,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-013_upper_colorado_basin_24_month_study_inflow_scenarios.pdf,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-013_upper_colorado_basin_24_month_study_inflow_scenarios.txt,4095
LP-20260625-A-014,597,Lake Powell,Drought Response Operations Agreement page,https://usbr.gov/ColoradoRiverBasin/dcp/droa.html,usbr.gov,Bureau of Reclamation,agency_webpage,TR-A,Official DROA page explaining drought response operations to protect Lake Powell elevations.,2026-06-25,stage1_agentic_workflow_20260625,text/html; charset=UTF-8,311ef9e3e8cfde5fa52dd4a2c95dc3790c86ee919fced7b63abd3937c18b0e43,,ok,True,runs\lake_powell_20260625\sources\raw\LP-20260625-A-014_drought_response_operations_agreement_page.html,True,runs\lake_powell_20260625\sources\text\LP-20260625-A-014_drought_response_operations_agreement_page.txt,7585
